"animal","Sire","Dam","Pop","Generation","Sex","Stage","Date","Time","Temp","Mass","Injured","Observer","Camera","Emerged","Latency.S","Latency.Cens","OF.Dist","UZ","OF.Var.Velo","AP.Dist","AP.Lat.Mov","AP.Var.Velo","Understimate.AP","Latency.unt.cen","Latency.unt.up","Latency.cen","Latency.up","JDate_dev","OF.Dist.sqrt","UZ.sqrt","OF.Var.Velo.log","AP.Dist.sqrt","AP.Lat.Mov.sqrt","AP.Var.Velo.log","UZ.log","AP.Lat.Mov.log"
10002,NA,"GI_ABQ_SD_21","ABQ","F0","F","A",2017-11-13,10.2466666666667,20.8,1042,"N","JA","Old",1,262,262,344.84,22,3.92137,129.806,96.24,1.33535,"N",262,262,16.1864140562386,16.1864140562386,-160,18.5698680663057,4.69041575982343,1.59358694702729,11.3932436118956,9.81019877474458,0.848161772821656,3.09104245335832,4.57718214944792
10005,NA,"GI_ABQ_SD_21","ABQ","F0","F","A",2017-11-09,11.1633333333333,21.4,817,"N","MAB","Old",1,225,225,1386.27,36,55.3674,753.501,52.16,25.2167,"N",225,225,15,15,-164,37.2326469647271,6,4.03189097720502,27.449972677582,7.22218803410712,3.26639661229119,3.58351893845611,3.97330623384504
10006,NA,"GI_ABQ_SD_21","ABQ","F0","F","A",2017-11-15,16.1133333333333,20.9,820,"N","RR","Old",0,NA,395,295.204,19,4.0059,243.306,107.72,4.53148,"N",395,Inf,19.8746069143518,Inf,-158,17.1815016805866,4.35889894354067,1.61061721678129,15.598269134747,10.3788245962633,1.7104554108305,2.94443897916644,4.68877576984289
10007,NA,"GI_ABQ_SD_21","ABQ","F0","M","A",2017-11-13,11.03,21.2,634,"N","JA","Old",1,0,0,67.5809,6,0.533152,161.461,156.72,3.74255,"N",0,0,0,0,-160,8.22076030547053,2.44948974278318,0.427325746964006,12.7067305000145,12.5187858836231,1.55657496573403,1.79175946922805,5.06082130900943
10008,NA,"GI_ABQ_SD_16","ABQ","F0","F","A",2017-11-21,11.3466666666667,19.9,693,"N","MAB","Old",0,NA,395,723.079,21,20.693,521.382,0.12,7.75936,"N",395,Inf,19.8746069143518,Inf,-152,26.8901283001774,4.58257569495584,3.07698962786092,22.8337907496762,0.346410161513775,2.1701228429186,3.04452243772342,0.113328685307003
10009,NA,"GI_ABQ_SD_16","ABQ","F0","M","A",2017-11-15,11.18,20.2,665,"N","HV","Old",1,74,74,597.503,20,11.488,674.454,59.04,17.403,"N",74,74,8.60232526704263,8.60232526704263,-158,24.4438744883048,4.47213595499958,2.52476818321313,25.9702522128685,7.68374908491942,2.91251369480306,2.99573227355399,4.09501100676526
10010,NA,"GI_ABQ_SD_16","ABQ","F0","M","A",2017-11-15,11.18,20.2,627,"N","HV","Old",0,NA,395,79.1904,1,0.484449,103.915,182.16,55.1227,"N",395,Inf,19.8746069143518,Inf,-158,8.8988988082796,1,0.395043659629847,10.1938707074398,13.4966662550424,4.02754036526726,0,5.21036008778889
10013,NA,"GI_ABQ_SD_28","ABQ","F0","F","A",2017-11-09,9.74666666666667,21.1,536,"N","MAB","Old",1,117,117,72.7765,1,0.108749,590.948,72.8,11.3471,"N",117,117,10.816653826392,10.816653826392,-164,8.53091437068735,1,0.103232352724673,24.3094220416694,8.53229160308062,2.5134212176862,0,4.30135873160643
10015,NA,"GI_ABQ_SF_80","ABQ","F0","M","A",2017-11-20,10.8966666666667,20.1,603,"N","JA","Old",0,NA,395,43.844,2,0.0957009,328.455,36.72,5.61091,"N",395,Inf,19.8746069143518,Inf,-153,6.62148019705564,1.4142135623731,0.0913942498215902,18.123327509042,6.05970296301725,1.88872131458459,0.693147180559945,3.63019045776526
10016,NA,"GI_ABQ_SF_80","ABQ","F0","M","A",2017-11-15,12.4133333333333,20.4,443,"N","HV","Old",1,33,33,175.974,11,1.48375,395.816,56.32,3.76853,"N",33,33,5.74456264653803,5.74456264653803,-158,13.2655192133591,3.3166247903554,0.909769514883889,19.895125031022,7.50466521571749,1.56203808130361,2.39789527279837,4.04864960295997
10017,NA,"GI_ABQ_SF_80","ABQ","F0","F","A",2017-11-15,12.4133333333333,20.4,585,"N","HV","Old",1,360,360,376.864,26,15.1002,235.86,53.28,3.49276,"N",360,360,18.9736659610103,18.9736659610103,-158,19.4129853448665,5.09901951359278,2.77883169427351,15.3577342078837,7.29931503635786,1.50246721223576,3.25809653802148,3.99415583496667
10018,NA,"GI_ABQ_SB_10","ABQ","F0","F","A",2017-11-15,16.1133333333333,20.9,570,"N","RR","Old",1,0,0,710.172,17,9.86665,385.052,29.24,3.33396,"N",0,0,0,0,-158,26.6490525159901,4.12310562561766,2.38569846596104,19.6227419083063,5.40740233383831,1.46648167372225,2.83321334405622,3.40916555131133
10020,NA,"GI_ABQ_SB_10","ABQ","F0","M","A",2017-11-14,10.48,21.1,508,"N","JD","Old",1,88,88,1519.14,30,50.9667,0,200,0,"N",88,88,9.38083151964686,9.38083151964686,-159,38.9761465514486,5.47722557505166,3.95060312883223,0,14.142135623731,0,3.40119738166216,5.30330490805908
10022,NA,"GI_ABQ_SB_10","ABQ","F0","M","A",2017-11-15,12.4133333333333,20.4,564,"N","HV","Old",0,NA,395,1348.64,20,45.4068,1078.5,6.96,24.2606,"N",395,Inf,19.8746069143518,Inf,-158,36.7238342224774,4.47213595499958,3.83744600021869,32.8405237473461,2.63818119165458,3.22924586960937,2.99573227355399,2.07442899985629
10023,NA,"GI_ABQ_SB_10","ABQ","F0","F","A",2017-11-20,10.0466666666667,19.7,575,"N","JA","Old",1,40,40,629.213,21,33.6366,874.687,0.04,14.5911,"N",40,40,6.32455532033676,6.32455532033676,-153,25.084118481621,4.58257569495584,3.54491092645203,29.5751077766422,0.2,2.74670023863061,3.04452243772342,0.0392207131532813
10024,NA,"GI_ABQ_SB_10","ABQ","F0","F","A",2017-11-15,11.18,20.2,677,"N","HV","Old",1,168,168,643.448,27,28.2963,281.716,7.4,2.61256,"N",168,168,12.9614813968157,12.9614813968157,-158,25.3662768257385,5.19615242270663,3.37746122818557,16.7843975167416,2.72029410174709,1.28441666229716,3.29583686600433,2.12823170584927
10028,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-09,11.1633333333333,21.4,773,"N","MAB","Old",1,176,176,80.4826,1,0.155807,15.9125,NA,0.00686236,"N",176,176,13.2664991614216,13.2664991614216,-164,8.97120950596964,1,0.144798801294344,3.98904750535764,NA,0.0068389211769453,0,NA
10031,NA,"GI_ABQ_SB_60","ABQ","F0","M","A",2017-11-08,16.8466666666667,20.6,506,"N","RR","Old",1,20,20,661.035,20,30.9502,691.271,81.72,16.1765,"N",20,20,4.47213595499958,4.47213595499958,-165,25.7106009264661,4.47213595499958,3.46417844058486,26.2920330138238,9.03991150399162,2.84354217053937,2.99573227355399,4.41546141076012
10032,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-20,10.8966666666667,20.1,664,"N","JA","Old",0,NA,395,58.561,2,0.134734,207.806,7.76,0.91449,"N",395,Inf,19.8746069143518,Inf,-153,7.65251592615135,1.4142135623731,0.126398262233,14.4154777929835,2.78567765543682,0.649451268625671,0.693147180559945,2.1701959049483
10033,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-20,10.8966666666667,20.1,634,"N","JA","Old",0,40,395,301.164,18,2.27294,487.094,21.76,7.16017,"N",395,Inf,19.8746069143518,Inf,-153,17.3540773307024,4.24264068711928,1.18568866354533,22.0702061612482,4.66476151587624,2.09926500209234,2.89037175789616,3.12500460925813
10034,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-13,10.2466666666667,20.8,692,"N","JA","Old",1,0,0,683.514,20,30.663,560.807,64.88,8.97527,"N",0,0,0,0,-160,26.1441006730008,4.47213595499958,3.45514880675463,23.6813639809872,8.05481222624091,2.30010903007878,2.99573227355399,4.18783490530944
10035,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-08,16.8466666666667,20.6,491,"N","RR","Old",0,NA,395,111.842,15,0.273576,454.462,41.8,6.74191,"N",395,Inf,19.8746069143518,Inf,-165,10.5755378113834,3.87298334620742,0.241828691709321,21.318114363142,6.46529195009785,2.04664842718476,2.70805020110221,3.75653810258775
10037,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-16,14.8466666666667,20.5,624,"N","BK","Old",1,312,312,972.72,25,55.891,814.891,19.32,17.7175,"N",312,312,17.6635217326557,17.6635217326557,-157,31.1884594040809,5,4.04113715638975,28.5462957316707,4.39545219516718,2.9294589151227,3.2188758248682,3.01160562271028
10038,NA,"GI_ABQ_SB_60","ABQ","F0","M","A",2017-11-16,14.0633333333333,20.3,467,"N","BK","Old",1,0,0,60.527,1,0.202138,244.441,11.68,1.37507,"N",0,0,0,0,-157,7.77991002518667,1,0.184101638175253,15.6346090453199,3.41760149812701,0.865026910736475,0,2.54002594900908
10040,NA,"GI_ABQ_SB_60","ABQ","F0","M","A",2017-11-16,14.0633333333333,20.3,499,"N","BK","Old",0,NA,395,400.999,22,7.32799,1042.11,24.52,19.7013,"N",395,Inf,19.8746069143518,Inf,-157,20.0249594256767,4.69041575982343,2.11962213054345,32.2817285782531,4.95176736125598,3.03019650023173,3.09104245335832,3.23946245847659
10042,NA,"GI_ABQ_SB_60","ABQ","F0","F","A",2017-11-15,16.1133333333333,20.9,830,"N","RR","Old",1,65,65,41.8359,1,0.08005,336.173,90.88,7.54484,"N",65,65,8.06225774829855,8.06225774829855,-158,6.4680677176418,1,0.0770073363607841,18.3350211344301,9.53310023025039,2.14532759199202,0,4.5204833778209
